"","logFC","logCPM","F","PValue","diffexpressed"
"ENSG00000003137",-0.411416712138695,3.24029040768744,6.57539568513466,0.0105592150030067,"NO"
"ENSG00000003147",-0.174521719538178,3.57061777399304,5.85096827162395,0.0158369642350626,"NO"
"ENSG00000003249",1.10526589528949,5.05754187676583,129.930447287379,1.3134889219524e-27,"UP"
"ENSG00000003393",-0.187787044601241,5.44772959579033,38.4673658579606,9.80246322941479e-10,"NO"
"ENSG00000003400",0.397073064809588,2.75952385161933,41.0372115898987,2.83317911943508e-10,"NO"
"ENSG00000003402",0.362343491258064,5.74097964086922,89.1744684051785,6.05959863436607e-20,"NO"
"ENSG00000003436",0.666419576056278,4.41885129737232,24.8668123323527,7.85565766937033e-07,"NO"
"ENSG00000003509",0.145440315614157,3.46478889133767,20.0465668322931,8.89871978455677e-06,"NO"
"ENSG00000003756",-0.323147641435749,6.53656897840365,48.9270927419994,6.51191703331481e-12,"NO"
"ENSG00000003987",-1.70187550810714,3.36160947111253,347.069868571119,1.32757880831812e-62,"DOWN"
"ENSG00000003989",-0.136673211446911,4.97348368332292,1.10896009793314,0.292692199010729,"NO"
"ENSG00000004059",0.577045202598937,6.59831584813393,178.973068317011,2.65249036846481e-36,"NO"
"ENSG00000004139",-0.44150960498851,4.17252764692321,78.323951520279,7.91710246642116e-18,"NO"
"ENSG00000004142",0.0224912244782711,6.98333753875433,0.734178554095331,0.39184196529871,"NO"
"ENSG00000004399",0.701241148273763,6.71375367840437,122.777409550884,2.7091630429738e-26,"NO"
"ENSG00000004455",0.675483629412202,6.38523383002096,234.823909273355,1.36334431912357e-45,"NO"
"ENSG00000004468",-1.4878335319818,6.00308699925799,145.471122805983,2.01684564305318e-30,"DOWN"
"ENSG00000004478",-0.288057823313435,6.51150101379086,52.4747682244641,1.2148907244521e-12,"NO"
"ENSG00000004487",-0.363297706186758,6.76192268187669,56.3266340805861,1.98561411144156e-13,"NO"
"ENSG00000004534",-0.45348356500372,6.75726198261573,60.6927284785476,2.58493924818874e-14,"NO"
"ENSG00000004660",-0.741976568066017,5.1172712045115,28.3260755624478,1.40486090000986e-07,"NO"
"ENSG00000004700",0.303879879771542,4.09593468550537,19.7924887119233,1.01242141425112e-05,"NO"
"ENSG00000004766",-0.0357926206898997,5.1464748703318,0.955613958163899,0.328651281041958,"NO"
"ENSG00000004776",1.957627864628,3.18782652646041,245.259433706669,2.92684914778154e-47,"UP"
"ENSG00000004777",-0.473388268056857,6.11092397842756,58.1690437920846,8.3860665948435e-14,"NO"
"ENSG00000004779",0.311955334136946,5.65878687494707,41.644446383947,2.11493129336706e-10,"NO"
"ENSG00000004799",-1.41063089645079,6.45855502178098,146.104987904715,1.55275897659571e-30,"DOWN"
"ENSG00000004838",2.69919065555973,2.99654761944989,443.806968781821,8.50137005770175e-76,"UP"
"ENSG00000004848",1.34769362635127,2.4919699252265,81.8395269928467,1.61999500694713e-18,"UP"
"ENSG00000004864",0.581891045556436,4.81710764612364,158.649431144813,9.1484856021443e-33,"NO"
"ENSG00000004866",-0.124614615975291,5.13401824880543,6.89814651797348,0.00882796852433134,"NO"
"ENSG00000004897",-0.0607655738828768,5.83936984260316,6.01562567346736,0.0144365527713507,"NO"
"ENSG00000004939",0.404185787143748,-1.78720178427427,6.07280428910911,0.0139807155806265,"NO"
"ENSG00000004948",-0.365875303093789,-1.82056214325082,6.13289662147765,0.0135175932869003,"NO"
"ENSG00000004961",0.640713648965826,4.04640509720379,267.270781318543,1.01048622057308e-50,"NO"
"ENSG00000004975",-0.220855220387008,5.68301220659765,33.173267306777,1.29086955944096e-08,"NO"
"ENSG00000005007",-0.183765303734149,7.06195096221036,30.9139199938587,3.91412296959739e-08,"NO"
"ENSG00000005020",1.48467512252655,5.13071066337187,296.016887551538,4.08824336092691e-55,"UP"
