"","logFC","logCPM","F","PValue","diffexpressed"
"ENSG00000000003",0.796286554608991,6.18335340903109,137.722454880886,5.01541150245649e-29,"NO"
"ENSG00000000005",3.92135546801533,-0.781683247026042,282.381399257228,4.78101133414792e-53,"UP"
"ENSG00000000419",0.439356472886082,4.54156107019302,144.424700954007,3.10135861301994e-30,"NO"
"ENSG00000000457",-0.104697330885404,3.51057775094586,12.3591249992174,0.000468757531497756,"NO"
"ENSG00000000460",1.08992721325552,2.44738404991658,308.237628327298,6.03108345773564e-57,"UP"
"ENSG00000000938",0.877280613148899,3.41772566314715,103.467207874262,1.10982100990487e-22,"NO"
"ENSG00000000971",2.33540469476297,4.54999922781401,304.068097753213,2.53744969157182e-56,"UP"
"ENSG00000001036",1.94192228096556,4.57141098272617,577.157362565204,3.35823845788533e-92,"UP"
"ENSG00000001084",-0.89543405948203,6.14699227382512,188.341758848246,6.65544727551394e-38,"NO"
"ENSG00000001167",-0.689539723959171,4.82299565870516,302.664716397686,4.08616067646127e-56,"NO"
"ENSG00000001460",0.925190423368732,2.83595333416558,47.4142376019258,1.33708492019212e-11,"NO"
"ENSG00000001461",-0.145552879442272,6.0426711039244,1.73167538898138,0.188652424118189,"NO"
"ENSG00000001497",-0.587964804793492,5.91239373217914,157.232995782401,1.62650884176316e-32,"NO"
"ENSG00000001561",-0.844127966513476,5.26581183551756,84.5772459475624,4.73368275904472e-19,"NO"
"ENSG00000001617",1.93272564474448,2.979690709768,224.775441570492,5.79839247158877e-44,"UP"
"ENSG00000001626",-1.34858630185893,1.83828921406798,105.596113586678,4.38942256938067e-23,"DOWN"
"ENSG00000001629",0.0129709150475072,7.1947647447553,0.0411339031152329,0.839341959571349,"NO"
"ENSG00000001630",-0.173618109680715,2.03487783153283,3.1591848416744,0.0759596223402329,"NO"
"ENSG00000001631",0.576686513384676,3.09803562270434,81.3309758808512,2.03571005558211e-18,"NO"
"ENSG00000002016",-0.451455175513694,3.9818811762077,55.1756087502732,3.4073880989929e-13,"NO"
"ENSG00000002330",0.448442832038094,3.96072501140192,50.4635354993537,3.14309563715242e-12,"NO"
"ENSG00000002549",1.2254869841772,6.93970869794509,361.055459056126,1.37211457886267e-64,"UP"
"ENSG00000002586",1.54992513909383,8.78367019033139,166.846008460952,3.34890952220115e-34,"UP"
"ENSG00000002587",2.22672960508534,4.38294239904042,322.953096067251,4.09563744299778e-59,"UP"
"ENSG00000002726",0.931059427127813,-2.54475745792276,36.8427398073276,2.15560100250655e-09,"NO"
"ENSG00000002745",3.65064139948501,0.503491007642677,253.515148261886,1.44194944487106e-48,"UP"
"ENSG00000002746",-2.42510878682526,3.91476900127114,257.61859744198,3.26235142833069e-49,"DOWN"
"ENSG00000002822",1.11679707882427,-1.44624446838215,108.719463577189,1.12990328529459e-23,"UP"
"ENSG00000002834",-0.177459292204382,7.45476694409331,18.2675220446848,2.20139139693707e-05,"NO"
"ENSG00000002919",0.33284377845273,5.03265235438194,59.164864299052,5.26647703651762e-14,"NO"
"ENSG00000002933",2.2333294802725,5.26310070925857,264.206994741271,3.04327005371324e-50,"UP"
"ENSG00000003056",0.322438400999009,5.70585971216492,37.4151142723714,1.63254528336609e-09,"NO"
"ENSG00000003096",-0.0606013174322187,4.67733514149806,0.646048283832241,0.42181747475351,"NO"
"ENSG00000003137",-1.19548048203324,3.24029040768744,45.9574782201656,2.67747381969152e-11,"DOWN"
"ENSG00000003147",-0.295620197647886,3.57061777399304,13.8136377903146,0.000218922745378623,"NO"
"ENSG00000003249",0.848607367218223,5.05754187676583,60.2994743764891,3.10478932242404e-14,"NO"
"ENSG00000003393",-0.388153333730143,5.44772959579033,135.427749124565,1.30574643506734e-28,"NO"
"ENSG00000003400",0.831759635385377,2.75952385161933,140.825003202818,1.37774913500249e-29,"NO"
"ENSG00000003402",0.372684691972883,5.74097964086922,75.5030606552691,2.84664668144756e-17,"NO"
"ENSG00000003436",3.00837281606795,4.41885129737232,330.326344250885,3.442334700813e-60,"UP"
"ENSG00000003509",0.182029321649084,3.46478889133767,25.367957066917,6.11533726904665e-07,"NO"
"ENSG00000003756",-0.328708974579585,6.53656897840365,41.8504254551862,1.91539485822006e-10,"NO"
"ENSG00000003987",-2.13034901163115,3.36160947111253,468.210597088418,6.06001170389953e-79,"DOWN"
"ENSG00000003989",0.0559167694699095,4.97348368332292,0.151367760722949,0.697356757826669,"NO"
"ENSG00000004059",0.564888428218532,6.59831584813393,136.06397583169,1.00085261916863e-28,"NO"
"ENSG00000004139",-0.651738092112874,4.17252764692321,142.030179181793,8.35628293034765e-30,"NO"
"ENSG00000004142",-0.11039380219224,6.98333753875433,14.4345470125338,0.000158472437421204,"NO"
"ENSG00000004399",0.976373646867899,6.71375367840437,184.739571755513,2.73432453264543e-37,"NO"
"ENSG00000004455",1.56516297592273,6.38523383002096,938.80773229751,4.44173205680684e-129,"UP"
"ENSG00000004468",-1.1068290083452,6.00308699925799,70.6454305991495,2.61346420880204e-16,"DOWN"
"ENSG00000004478",-0.226055842710802,6.51150101379086,26.6415658302395,3.24163399982989e-07,"NO"
"ENSG00000004487",0.565961003704332,6.76192268187669,110.037487149524,6.38552616620315e-24,"NO"
"ENSG00000004534",-0.630171601224656,6.75726198261573,97.5526206003518,1.48381458117729e-21,"NO"
"ENSG00000004660",-0.902356479636747,5.1172712045115,35.2702979455585,4.63418904255083e-09,"NO"
"ENSG00000004700",0.4086694918904,4.09593468550537,28.6170085154396,1.21631179189942e-07,"NO"
"ENSG00000004766",0.0223053887799148,5.1464748703318,0.302228125073891,0.582674243570151,"NO"
"ENSG00000004776",3.11295385975231,3.18782652646041,416.296429979966,3.62943563238458e-72,"UP"
"ENSG00000004777",-0.288343636755278,6.11092397842756,17.9239810109341,2.6240692605355e-05,"NO"
"ENSG00000004779",0.199990805257084,5.65878687494707,13.793081539247,0.000221280738047555,"NO"
"ENSG00000004799",-0.848661174761772,6.45855502178098,46.3014634263793,2.27218566918771e-11,"NO"
"ENSG00000004838",2.74877783241809,2.99654761944989,335.833259679169,5.48094113601864e-61,"UP"
"ENSG00000004848",1.05309337022021,2.4919699252265,39.1403023756392,7.07920607335069e-10,"UP"
"ENSG00000004864",0.532095910497478,4.81710764612364,105.414301844018,4.74830045889423e-23,"NO"
"ENSG00000004866",-0.0705545713934091,5.13401824880543,1.80877844283064,0.17911511441287,"NO"
"ENSG00000004897",-0.0346833822157609,5.83936984260316,1.599263967445,0.206452290568182,"NO"
"ENSG00000004939",0.101592813868747,-1.78720178427427,0.312793055148744,0.576160338954419,"NO"
"ENSG00000004948",0.958962593710217,-1.82056214325082,32.3542720326704,1.92853110095035e-08,"NO"
"ENSG00000004961",0.542689481623815,4.04640509720379,152.35147548999,1.19110857164457e-31,"NO"
"ENSG00000004975",-0.394858256571263,5.68301220659765,87.4611664965354,1.30119497798133e-19,"NO"
"ENSG00000005007",-0.0422477460789845,7.06195096221036,1.33764096026831,0.247867340776207,"NO"
"ENSG00000005020",2.43603717983684,5.13071066337187,560.237377638052,3.22239612634877e-90,"UP"
